"city_id","city_name","city_alternate_name","city_lat","city_lng"
"14256","Azadshahr","Azadshahr","34.79049","48.57011"
"18918","Protaras","Protaras","35.01250","34.05833"
"23814","Kahriz","Kahriz","34.38380","47.05530"
"24851","Nurabad","Nurabad","34.07340","47.97250"
"32723","Istgah-e Rah Ahan-e Garmsar","Istgah-e Rah Ahan-e Garmsar","35.23455","52.30942"
"32767","Qarchak","Qarchak","35.42867","51.57544"
"32909","Shahre Jadide Andisheh","Shahre Jadide Andisheh","35.68030","51.01930"
"41210","Khorramdarreh","Khorramdarreh","36.20898","49.19152"
"50672","Wanlaweyn","Wanlaweyn","2.61850","44.89380"
"52867","Qoryooley","Qoryooley","1.78784","44.52999"
"53157","Qandala","Qandala","11.47197","49.87282"
"53654","Mogadishu","Mogadishu","2.03711","45.34375"
"54225","Marka","Marka","1.71594","44.77166"
"54715","Luuq","Luuq","3.80315","42.54417"
"55671","Kismayo","Kismayo","-0.35817","42.54536"
"56166","Jilib","Jilib","0.48829","42.78535"
"56335","Jawhar","Jawhar","2.78087","45.50048"
"56399","Jamaame","Jamaame","0.06968","42.74497"
"57289","Hargeysa","Hargeysa","9.56000","44.06500"
"58933","Garoowe","Garoowe","8.40207","48.48284"
"59611","Gaalkacyo","Gaalkacyo","6.76972","47.43083"
"60019","Eyl","Eyl","7.98030","49.81640"
"62691","Ceerigaabo","Ceerigaabo","10.61616","47.36795"
"62788","Ceeldheer","Ceeldheer","3.84878","47.18064"
"63571","Buurhakaba","Buurhakaba","2.80257","44.07805"
"63689","Buulobarde","Buulobarde","3.85375","45.56744"
"63795","Burao","Burao","9.52213","45.53363"
"64013","Bosaso","Bosaso","11.28421","49.18158"
"64435","Berbera","Berbera","10.43959","45.01432"
"64460","Beledweyne","Beledweyne","4.73583","45.20361"
"64536","Baidoa","Baidoa","3.11383","43.64980"
"65170","Baardheere","Baardheere","2.34464","42.27644"
"65785","Afgooye","Afgooye","2.13810","45.12120"
"66093","Yasuj","Yasuj","30.66824","51.58796"
"69426","Zinjibar","Zinjibar","13.12871","45.38073"
"69500","Zabid","Zabid","14.19510","43.31518"
"69559","Yarim","Yarim","14.29804","44.37795"
"70225","Ta`izz","Ta`izz","13.57952","44.02091"
"70979","Sayyan","Sayyan","15.17177","44.32442"
"71137","Sanaa","Sanaa","15.35472","44.20667"
"71273","Sahar","Sahar","15.31586","44.30858"
"71334","Sa'dah","Sa'dah","16.94021","43.76393"
"72968","Ma'rib","Ma'rib","15.46253","45.32581"
"73560","Lahij","Lahij","13.05667","44.88194"
"74477","Ibb","Ibb","13.96667","44.18333"
"75337","Hajjah","Hajjah","15.69425","43.60582"
"76154","Dhi as Sufal","Dhi as Sufal","13.83446","44.11469"
"76184","Dhamar","Dhamar","14.54274","44.40514"
"76991","Bayt al Faqih","Bayt al Faqih","14.51635","43.32446"
"77408","Bajil","Bajil","15.05898","43.28731"
"77726","Ataq","Ataq","14.53767","46.83187"
"78428","'Amran","'Amran","15.65940","43.94385"
"78754","Al Mukalla","Al Mukalla","14.54248","49.12424"
"79415","Al Hudaydah","Al Hudaydah","14.79781","42.95452"
"79455","Al Hazm","Al Hazm","16.16406","44.77692"
"79836","Al Bayda","Al Bayda","13.98523","45.57272"
"81302","Tobruk","Tobruk","32.08361","23.97639"
"81604","Suluq","Suluq","31.66818","20.25205"
"87205","Darnah","Darnah","32.76704","22.63669"
"88319","Benghazi","Benghazi","32.11486","20.06859"
"88380","Az Zuwaytinah","Az Zuwaytinah","30.95220","20.12022"
"88562","At Taj","At Taj","24.20487","23.28570"
"88834","Tukrah","Tukrah","32.53414","20.57911"
"88835","Al Qubbah","Al Qubbah","32.76163","22.24237"
"88903","Al Marj","Al Marj","32.48798","20.83174"
"88962","Al Jawf","Al Jawf","24.19890","23.29093"
"89055","Al Bayda'","Al Bayda'","32.76272","21.75506"
"89087","Al Abyar","Al Abyar","32.19000","20.59653"
"89113","Ajdabiya","Ajdabiya","30.75545","20.22625"
"89570","Zaxo","Zaxo","37.14871","42.68591"
"89824","Umm Qasr","Umm Qasr","30.03620","47.91951"
"90026","Tozkhurmato","Tozkhurmato","34.88808","44.63256"
"90150","Tikrit","Tikrit","34.61581","43.67861"
"90353","Tallkayf","Tallkayf","36.49109","43.12026"
"90708","Sinah","Sinah","36.80752","43.03831"
"91597","Samarra'","Samarra'","34.19590","43.88568"
"91812","Nahiyat Saddat al Hindiyah","Nahiyat Saddat al Hindiyah","32.71557","44.27857"
"92002","Ruwandiz","Ruwandiz","36.61207","44.52372"
"92430","Al-Hamdaniya","Al-Hamdaniya","36.27093","43.37758"
"93709","Mandali","Mandali","33.74810","45.55503"
"94220","Koysinceq","Koysinceq","36.08289","44.62873"
"94298","Kifri","Kifri","34.68963","44.96057"
"94787","Kirkuk","Kirkuk","35.46806","44.39222"
"94824","Karbala","Karbala","32.61603","44.02488"
"95446","Erbil","Erbil","36.19257","44.01062"
"95788","Hit","Hit","33.63664","42.82768"
"96205","Halabjah","Halabjah","35.17778","45.98611"
"96309","Hadithah","Hadithah","34.13661","42.37727"
"96994","Dihok","Dihok","36.86709","42.98845"
"97417","Jamjamal","Jamjamal","35.53356","44.83430"
"97783","Bayji","Bayji","34.92915","43.48878"
"97990","Baqubah","Baqubah","33.75403","44.60518"
"98012","Baynjiwayn","Baynjiwayn","35.62329","45.94714"
"98112","Balad","Balad","34.01485","44.14574"
"98182","Baghdad","Baghdad","33.34058","44.40088"
"98245","Az Zubayr","Az Zubayr","30.39213","47.70175"
"98459","As Suwayrah","As Suwayrah","32.92556","44.77583"
"98463","As Sulaymaniyah","As Sulaymaniyah","35.56496","45.43290"
"98530","As Samawah","As Samawah","31.33198","45.29440"
"98589","Nahiyat ash Shinafiyah","Nahiyat ash Shinafiyah","31.58376","44.64675"
"98622","Ash Shatrah","Ash Shatrah","31.40906","46.17270"
"98629","Ash Shamiyah","Ash Shamiyah","31.96257","44.60075"
"98677","Ar Rutbah","Ar Rutbah","33.03718","40.28586"
"98685","Ar Rumaythah","Ar Rumaythah","31.52845","45.20377"
"98717","Ramadi","Ramadi","33.42056","43.30778"
"98822","'Aqrah","'Aqrah","36.73322","43.87964"
"98854","Nasiriyah","Nasiriyah","31.05799","46.25726"
"98860","Najaf","Najaf","32.02594","44.34625"
"98885","'Anat al Qadimah","'Anat al Qadimah","34.46934","41.94223"
"99010","Imam Qasim","Imam Qasim","32.29799","44.68282"
"99039","Al Musayyib","Al Musayyib","32.77872","44.29005"
"99060","Al Mishkhab","Al Mishkhab","31.80437","44.48930"
"99062","Al Miqdadiyah","Al Miqdadiyah","33.97861","44.93694"
"99071","Al Mawsil al Jadidah","Al Mawsil al Jadidah","36.33271","43.10555"
"99072","Mosul","Mosul","36.33500","43.11889"
"99131","Al Kut","Al Kut","32.51280","45.81817"
"99135","Kufa","Kufa","32.05114","44.44017"
"99169","Khalis","Khalis","33.80809","44.53343"
"99306","'Ali al Gharbi","'Ali al Gharbi","32.46186","46.68794"
"99344","Al Hindiyah","Al Hindiyah","32.54671","44.22765"
"99347","Al Hillah","Al Hillah","32.46367","44.41963"
"99350","Al Hayy","Al Hayy","32.17419","46.04345"
"99369","Al Harithah","Al Harithah","30.58481","47.76114"
"99434","Nahiyat Ghammas","Nahiyat Ghammas","31.74311","44.61960"
"99439","Nahiyat al Fuhud","Nahiyat al Fuhud","30.96972","46.72278"
"99446","Al Faw","Al Faw","29.97421","48.47309"
"99454","Al Fallujah","Al Fallujah","33.34913","43.78599"
"99532","Basrah","Basrah","30.50852","47.78040"
"99548","Al 'Aziziyah","Al 'Aziziyah","32.90941","45.06359"
"99608","Al 'Amarah","Al 'Amarah","31.83561","47.14483"
"99738","'Afak","'Afak","32.06430","45.24743"
"99759","Ad Dujayl","Ad Dujayl","33.84667","44.23444"
"99762","Ad Diwaniyah","Ad Diwaniyah","31.99289","44.92552"
"100077","Abu Ghurayb","Abu Ghurayb","33.30563","44.18477"
"100425","Yanbu","Yanbu","24.08954","38.06180"
"100926","Umm Lajj","Umm Lajj","25.02126","37.26850"
"101312","Turaif","Turaif","31.67252","38.66374"
"101322","Turabah","Turabah","21.21406","41.63310"
"101554","Tarut","Tarut","26.57332","50.03694"
"101628","Tabuk","Tabuk","28.39980","36.57151"
"101631","Tubarjal","Tubarjal","30.49987","38.21603"
"101760","Sultanah","Sultanah","24.49258","39.58572"
"102318","Sayhat","Sayhat","26.48522","50.04046"
"102451","Samitah","Samitah","16.59601","42.94435"
"102527","Sakakah","Sakakah","29.96974","40.20641"
"102585","Safwa","Safwa","26.64986","49.95223"
"102651","Sabya","Sabya","17.14950","42.62537"
"102985","Rahimah","Rahimah","26.70791","50.06194"
"103035","Rabigh","Rabigh","22.79856","39.03493"
